module | seccomp | kvm | status
test_genericclass    | s=  22/True  | k=  22/True  | PARITY
test_named_expressions | s=  74/True  | k=  74/True  | PARITY
test_funcattrs       | s=  35/True  | k=  35/True  | PARITY
test_global          | s=  20/True  | k=  20/True  | PARITY
test_extcall         | s=   1/True  | k=   1/True  | PARITY
test_super           | s=  40/True  | k=  40/True  | PARITY
test_decorators      | s=  16/True  | k=  16/True  | PARITY
test_metaclass       | s=   1/True  | k=   1/True  | PARITY
test_format          | s=  18/True  | k=  18/True  | PARITY
test_fstring         | s=  90/True  | k=  90/True  | PARITY
test_with            | s=  54/True  | k=  54/True  | PARITY
test_yield_from      | s=  43/True  | k=  43/True  | PARITY
test_patma           | s= 328/True  | k= 328/True  | PARITY
test_collections     | s= 116/True  | k= 116/True  | PARITY
test_heapq           | s=  69/True  | k=  69/True  | PARITY
test_bisect          | s=  46/True  | k=  46/True  | PARITY
test_operator        | s= 110/True  | k= 110/True  | PARITY
test_functools       | s= 325/True  | k= 325/True  | PARITY
test_copy            | s=  81/True  | k=  81/True  | PARITY
test_copyreg         | s=   6/True  | k=   6/True  | PARITY
test_defaultdict     | s=  13/True  | k=  13/True  | PARITY
test_deque           | s=  81/True  | k=  81/True  | PARITY
test_ordered_dict    | s= 295/True  | k= 295/True  | PARITY
test_userdict        | s=  28/True  | k=  28/True  | PARITY
test_userlist        | s=  54/True  | k=  54/True  | PARITY
test_userstring      | s=  71/True  | k=  71/True  | PARITY
test_weakref         | s= 137/True  | k= 137/True  | PARITY
test_weakset         | s=  46/True  | k=  46/True  | PARITY
test_index           | s=  55/True  | k=  55/True  | PARITY
test_compare         | s=  16/True  | k=  16/True  | PARITY
test_contains        | s=   4/True  | k=   4/True  | PARITY
test_math            | s=  89/True  | k=  89/True  | PARITY
test_cmath           | s=  33/True  | k=  33/True  | PARITY
test_math_property   | s=   2/True  | k=   2/True  | PARITY
test_abc             | s=  72/True  | k=  72/True  | PARITY
test_abstract_numbers | s=   7/True  | k=   7/True  | PARITY
test_typing          | s= 709/True  | k= 709/True  | PARITY
test_hash            | s=  30/True  | k=  30/True  | PARITY
test_hashlib         | s=  82/True  | k=  82/True  | PARITY
test_hmac            | s= 145/True  | k= 145/True  | PARITY
test_marshal         | s=  67/True  | k=  67/True  | PARITY
test_pickle          | s= 989/True  | k= 989/True  | PARITY
test_pickletools     | s= 188/True  | k= 188/True  | PARITY
test_picklebuffer    | s=   9/True  | k=   9/True  | PARITY
test_re              | s= 165/False | k= 165/False | BOTH_FAIL
test_unicodedata     | s=  54/True  | k=  54/True  | PARITY
test_codecs          | s= 287/True  | k= 287/True  | PARITY
test_codeop          | s=   9/True  | k=   9/True  | PARITY
test_difflib         | s=  58/True  | k=  58/True  | PARITY
test_textwrap        | s=  68/True  | k=  68/True  | PARITY
test_charmapcodec    | s=   4/True  | k=   4/True  | PARITY
test_calendar        | s=  78/True  | k=  78/True  | PARITY
test_datetime        | s=3606/True  | k=3606/True  | PARITY
test_io              | s= 667/True  | k= 667/True  | PARITY
test_fileio          | s=  99/True  | k=  99/True  | PARITY
test_buffer          | s=  95/True  | k=  95/True  | PARITY
test_memoryview      | s= 170/False | k= 170/False | BOTH_FAIL
test_memoryio        | s= 182/True  | k= 182/True  | PARITY
test_zlib            | s=  76/True  | k=  76/True  | PARITY
test_bz2             | s= 101/True  | k= 101/True  | PARITY
test_gzip            | s=  75/True  | k=  75/True  | PARITY
test_lzma            | s= 121/True  | k= 121/True  | PARITY
test_argparse        | s=1893/True  | k=1893/True  | PARITY
test_optparse        | s= 154/True  | k= 154/True  | PARITY
test_getopt          | s=   9/True  | k=   9/True  | PARITY
test_enum            | s=1081/True  | k=1081/True  | PARITY
test_atexit          | s=   8/True  | k=   8/True  | PARITY
test_pprint          | s=  45/True  | k=  45/True  | PARITY
test_property        | s=  31/True  | k=  31/True  | PARITY
test_descrtut        | s=   8/True  | k=   8/True  | PARITY
test_dynamic         | s=  11/True  | k=  11/True  | PARITY
test_dis             | s= 145/True  | k= 145/True  | PARITY
test_frame           | s=  59/True  | k=  59/True  | PARITY
test_finalization    | s=  18/True  | k=  18/True  | PARITY
test_gc              | s=  57/True  | k=  57/True  | PARITY
test_pep646_syntax   | s=   1/True  | k=   1/True  | PARITY
test_int_literal     | s=   6/True  | k=   6/True  | PARITY
test_eof             | s=   6/True  | k=   6/True  | PARITY
test_slice           | s=  11/True  | k=  11/True  | PARITY
test_typechecks      | s=   6/True  | k=   6/True  | PARITY
test_pkg             | s=   8/True  | k=   8/True  | PARITY
test_pkgutil         | s=  21/True  | k=  21/True  | PARITY
test_pyclbr          | s=   6/True  | k=   6/True  | PARITY
test_modulefinder    | s=  17/True  | k=  17/True  | PARITY
test_runpy           | s=  38/True  | k=  38/True  | PARITY
test_traceback       | s= 370/True  | k= 370/True  | PARITY
test_tokenize        | s= 130/True  | k= 130/True  | PARITY
test_sys             | s=  97/False | k=  97/False | BOTH_FAIL
test_sysconfig       | s=  37/True  | k=  37/True  | PARITY
test_platform        | s=  39/True  | k=  39/True  | PARITY
test_eintr           | s=   1/False | k=   1/False | BOTH_FAIL
test_genericpath     | s=  25/True  | k=  25/True  | PARITY
test_glob            | s=  24/True  | k=  24/True  | PARITY
test_string_literals | s=  20/True  | k=  20/True  | PARITY
test_multibytecodec  | s=  36/True  | k=  36/True  | PARITY
test_unicode_identifiers | s=   3/True  | k=   3/True  | PARITY
test_stringprep      | s=   1/True  | k=   1/True  | PARITY
test_audit           | s=  30/False | k=  30/False | BOTH_FAIL

TOTAL: parity=134 diverge=1 skip=0
