module | seccomp | kvm | status
-------|---------|-----|-------
test_int             | s=  52/True  | k=  52/True  | PARITY
test_float           | s=  54/True  | k=  54/True  | PARITY
test_complex         | s=  37/True  | k=  37/True  | PARITY
test_decimal         | s= 732/True  | k= 732/True  | PARITY
test_fractions       | s=  50/True  | k=  50/True  | PARITY
test_long            | s=  47/True  | k=  47/True  | PARITY
test_pow             | s=   7/True  | k=   7/True  | PARITY
test_strtod          | s=   9/True  | k=   9/True  | PARITY
test_numeric_tower   | s=   9/True  | k=   9/True  | PARITY
test_bool            | s=  31/True  | k=  31/True  | PARITY
test_bytes           | s= 317/True  | k= 317/True  | PARITY
test_dict            | s= 120/True  | k= 120/True  | PARITY
test_list            | s=  68/True  | k=  68/True  | PARITY
test_set             | s= 630/True  | k= 630/True  | PARITY
test_tuple           | s=  38/True  | k=  38/True  | PARITY
test_array           | s= 890/True  | k= 890/True  | PARITY
test_struct          | s=  43/True  | k=  43/True  | PARITY
test_iter            | s=  57/True  | k=  57/True  | PARITY
test_iterlen         | s=  22/True  | k=  22/True  | PARITY
test_itertools       | s= 137/True  | k= 137/True  | PARITY
test_generators      | s=  59/True  | k=  59/True  | PARITY
test_genexps         | s=   1/True  | k=   1/True  | PARITY
test_listcomps       | s=  61/True  | k=  61/True  | PARITY
test_dictcomps       | s=  10/True  | k=  10/True  | PARITY
test_dictviews       | s=  16/True  | k=  16/True  | PARITY
test_compile         | s=   ?/?     | k= 185/True  | DIVERGE_KVM_BETTER
test_call            | s= 186/True  | k= 186/True  | PARITY
test_class           | s=  37/True  | k=  37/True  | PARITY
test_descr           | s= 162/True  | k= 162/True  | PARITY
test_grammar         | s=  75/True  | k=  75/True  | PARITY
test_exceptions      | s= 107/True  | k= 107/True  | PARITY
test_baseexception   | s=  11/True  | k=  11/True  | PARITY
test_exception_group | s=  52/True  | k=  52/True  | PARITY
test_exception_hierarchy | s=  16/True  | k=  16/True  | PARITY
test_keyword         | s=  11/True  | k=  11/True  | PARITY
test_keywordonlyarg  | s=  11/True  | k=  11/True  | PARITY
test_genericalias    | s=  36/True  | k=  36/True  | PARITY
